Name ,Phase,Release Date,Critic Rating,Audience Rating,My Tier,Format,Trailer
Iron Fist Season 1,Defenders Saga,3/17/17,20%,71%,N/A,TV Show,https://www.youtube.com/watch?v=f9OKL5no-S0
Iron Fist Season 2,Defenders Saga,9/7/18,55%,61%,N/A,TV Show,https://www.youtube.com/watch?v=kvvWB0GwCek
Wonder Man,Phase 6,1/27/2026,N/A,N/A,N/A,TV Show,https://www.youtube.com/watch?v=lgoxHC7WF9w
Avengers Doomsday,Phase 6,12/18/2026,N/A,N/A,N/A,Movie,
Spider-Man Brand New Day,Phase 6,7/31/2026,N/A,N/A,N/A,Movie,
Avengers Secret Wars,Phase 6,12/17/2027,N/A,N/A,N/A,Movie,
Vision Quest,Phase 6,10/1/2026,N/A,N/A,N/A,TV Show,
Your Friendly Neighborhood Spiderman Season 2,Phase 6,8/1/2026,N/A,N/A,N/A,Animated Show,
Daredevil Born Again Season 2,Phase 6,3/1/2026,N/A,N/A,N/A,TV Show,
X-Men 97 Season 2,Phase 6,6/1/2026,N/A,N/A,N/A,Animated Show,
