Name ,Franchise,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Daddy's Home 2,N/A,N/A,11/10/2017,21%,51%,2/5,
Inception,N/A,N/A,7/13/2010,87%,91%,4.5/5,
The Wizard of Oz,N/A,N/A,8/25/1939,98%,89%,4.5/5,
Super Size Me,N/A,N/A,5/7/2004,92%,72%,4/5,
Top Gun,N/A,N/A,5/16/1986,59%,83%,3.5/5,
Superhero Movie,N/A,N/A,3/28/2008,17%,32%,1.5/5,
Expelled,N/A,N/A,12/12/2014,N/A,53%,1/5,
Mortal Kombat,N/A,N/A,4/23/2021,55%,85%,2/5,
The Polar Express,N/A,N/A,11/10/2004,55%,64%,3/5,
Spy Kids 2: The Island of Lost Dreams,N/A,N/A,8/7/2002,75%,40%,2.5/5,
Spy Kids 3: Game Over,N/A,N/A,7/25/2003,45%,25%,1/5,
Rango,N/A,N/A,3/4/2011,88%,70%,4/5,
Turbo,N/A,N/A,7/17/2013,68%,65%,3.5/5,
Cloudy With A Chance of Meatballs,N/A,N/A,9/18/2009,85%,72%,3/5,
Hotel Transylvania,N/A,N/A,9/28/2012,45%,72%,3.5/5,
Cloudy With A Chance of Meatballs 2,N/A,N/A,9/27/2013,71%,66%,2.5/5,
Jawan,Bollywood,N/A,9/7/2023,89%,85%,3/5,
Dunki,Bollywood,N/A,12/21/2023,46%,74%,1.5/5,
Kabhi Khushi Kabhie Gham,Bollywood,N/A,12/14/2001,100%,88%,2/5,
Om Shanti Om,Bollywood,N/A,12/9/2007,80%,77%,2.5/5,
Happy New Year,Bollywood,N/A,10/24/2014,53%,51%,2.5/5,
Chennai Express,Bollywood,N/A,8/8/2013,53%,54%,3/5,
Fan,Bollywood,N/A,4/15/2016,80%,78%,1/5,
pk,Bollywood,N/A,12/19/2014,80%,85%,4.5/5,
Kuch Kuch Hota Hai,Bollywood,N/A,10/16/1998,80%,92%,1.5/5,
Yeh Jawaani Hai Deewani,Bollywood,N/A,5/31/2013,70%,65%,5/5,
Student of the Year,Bollywood,N/A,10/19/2012,50%,49%,2.5/5,
Student of the Year 2,Bollywood,N/A,5/10/2019,6%,21%,.5/5,
Raees,Bollywood,N/A,1/25/2017,62%,63%,3/5,
White Chicks,N/A,N/A,6/23/2004,15%,55%,2/5,
Animal,Bollywood,N/A,12/1/2023,26%,81%,.5/5,
Don,Bollywood,N/A,10/20/2006,N/A,79%,3.5/5,
Don 2,Bollywood,N/A,12/23/2011,63%,72%,5/5,
Dilwale,Bollywood,N/A,12/18/2015,20%,53%,2.5/5,
Murder Mystery,N/A,N/A,6/14/2019,43%,47%,2.5/5,
Murder Mystery 2,N/A,N/A,3/31/2023,46%,45%,2.5/5,
Episode I: The Phantom Menace,Star Wars,N/A,5/19/1999,54%,59%,2/5,https://www.youtube.com/watch?v=bD7bpG-zDJQ
Episode II: Attack of the Clones,Star Wars,N/A,5/16/2002,61%,56%,3/5,https://www.youtube.com/watch?v=gYbW1F_c9eM
Episode III: Revenge of the Sith,Star Wars,4/30/2025,5/19/2005,79%,66%,3.5/5,https://www.youtube.com/watch?v=5UnjrG_N8hU
Episode IV: A New Hope,Star Wars,N/A,5/25/1977,94%,96%,4.5/5,https://www.youtube.com/watch?v=vZ734NWnAHA
Episode V: The Empire Strikes Back,Star Wars,N/A,5/21/1980,93%,97%,5/5,https://www.youtube.com/watch?v=JNwNXF9Y6kY
Episode VI: Return of the Jedi,Star Wars,N/A,5/25/1983,84%,94%,4.5/5,https://www.youtube.com/watch?v=7L8p7_SLzvU
Episode VII: The Force Awakens,Star Wars,N/A,12/18/2015,93%,84%,4/5,https://www.youtube.com/watch?v=sGbxmsDFVnE
Episode VIII: The Last Jedi,Star Wars,N/A,12/15/2017,91%,41%,2/5,https://www.youtube.com/watch?v=Q0CbN8sfihY
Episode IX:  The Rise of Skywalker,Star Wars,N/A,12/20/2019,51%,86%,2.5/5,https://www.youtube.com/watch?v=8Qn_spdM5Zg
Rogue One,Star Wars,N/A,8/15/18,84%,87%,4/5,https://www.youtube.com/watch?v=frdj1zb9sMY
Solo,Star Wars,N/A,12/16/2016,69%,63%,3/5,https://www.youtube.com/watch?v=jPEYpryMp2s
Star Wars: The Clone Wars,Star Wars,N/A,5/25/08,18%,41%,N/A,https://www.youtube.com/watch?v=hh3P3DoZZh4
The Clone Wars,Star Wars,N/A,10/3/2008,93%,91%,N/A,https://www.youtube.com/watch?v=ZLW2jkd6E7g
The Mandalorian,Star Wars,N/A,11/12/2019,90%,78%,4/5,https://www.youtube.com/watch?v=aOC8E8z_ifw
The Book of Boba Fett,Star Wars,N/A,12/29/21,66%,49%,3.5/5,https://www.youtube.com/watch?v=rOJ1cw6mohw
Obi-Wan Kenobi,Star Wars,N/A,5/27/2022,82%,61%,3.5/5,https://www.youtube.com/watch?v=3Yh_6_zItPU
Andor,Star Wars,N/A,9/21/22,96%,89%,N/A,https://www.youtube.com/watch?v=cKOegEuCcfw
Ahsoka,Star Wars,N/A,8/22/23,85%,64%,N/A,https://www.youtube.com/watch?v=J_1EXWNETiI
The Acolyte,Star Wars,N/A,6/4/24,79%,19%,N/A,https://www.youtube.com/watch?v=6tzur6JrUEA
Skeleton Crew,Star Wars,N/A,12/2/24,92%,79%,N/A,https://www.youtube.com/watch?v=f19gfOMZTtg
Despicable Me,Despicable Me,N/A,7/9/2010,80%,83%,4/5,https://www.youtube.com/watch?v=zzCZ1W_CUoI
Despicable Me 2,Despicable Me,N/A,7/3/2013,75%,85%,4.5/5,https://www.youtube.com/watch?v=yM9sKpQOuEw
Minions,Despicable Me,N/A,7/10/2015,55%,49%,3/5,https://www.youtube.com/watch?v=eisKxhjBnZ0
Despicable Me 3,Despicable Me,N/A,6/30/2017,59%,53%,2.5/5,https://www.youtube.com/watch?v=oagwBHoh6Rs
Minions: The Rise of Gru,Despicable Me,N/A,7/1/2022,69%,89%,4/5,https://www.youtube.com/watch?v=6DxjJzmYsXo
Despicable Me 4,Despicable Me,N/A,7/3/2024,56%,86%,3.5/5,https://www.youtube.com/watch?v=qQlr9-rF32A
The Boys Season 1,The Boys,N/A,7/26/2019,85%,91%,4/5,https://www.youtube.com/watch?v=tcrNsIaQkb4
The Boys Season 2,The Boys,N/A,9/4/2020,97%,84%,4.5/5,https://www.youtube.com/watch?v=MN8fFM1ZdWo
The Boys Presents: Diabolical,The Boys,N/A,3/4/2022,97%,72%,N/A,https://www.youtube.com/watch?v=LO8mSkbppE4
The Boys Season 3,The Boys,N/A,6/3/2022,98%,76%,5/5,https://www.youtube.com/watch?v=K-8VYKUZYiw
Gen V Season 1,The Boys,N/A,9/29/2023,97%,76%,4/5,https://www.youtube.com/watch?v=uhjJ5brX-bY
The Boys Season 4,The Boys,N/A,6/13/2024,93%,54%,3/5,https://www.youtube.com/watch?v=EzFXDvC-EwM
Gen V Season 2,The Boys,N/A,9/17/2025,N/A,N/A,3.5/5,https://www.youtube.com/watch?v=6WxofgjVpXg
The Boys Season 5,The Boys,N/A,2026,N/A,N/A,N/A,
Men in Black,Men in Black,N/A,7/2/1997,91%,80%,4.5/5,https://www.youtube.com/watch?v=UxUTTrU6PA4
Men in Black II,Men in Black,N/A,7/3/2002,38%,45%,1/5,https://www.youtube.com/watch?v=DMHlNR6x2Sw
Men in Black III,Men in Black,N/A,5/25/2012,67%,70%,3/5,https://www.youtube.com/watch?v=IyaFEBI_L24
Men in Black: International,Men in Black,N/A,6/14/2019,23%,66%,1.5/5,https://www.youtube.com/watch?v=BV-WEb2oxLk
Ek Tha Tiger,YRF Spy Universe,N/A,8/15/2012,75%,49%,2/5,https://www.youtube.com/watch?v=SmUl0l8qBXw
Tiger Zinda Hai,YRF Spy Universe,N/A,12/22/2017,64%,67%,2.5/5,https://www.youtube.com/watch?v=ePO5M5DE01I
War,YRF Spy Universe,N/A,10/2/2019,67%,80%,3.5/5,https://www.youtube.com/watch?v=tQ0mzXRk-oM
Pathaan,YRF Spy Universe,N/A,1/25/2023,82%,78%,3/5,https://www.youtube.com/watch?v=vqu4z34wENw
Tiger 3,YRF Spy Universe,N/A,11/12/2023,55%,69%,1.5/5,https://www.youtube.com/watch?v=vEjTUDjjU6A
War 2,YRF Spy Universe,8/13/2025,8/14/2025,N/A,N/A,1/5,https://www.youtube.com/watch?v=mjBym9uKth4
Alpha,YRF Spy Universe,N/A,12/25/2025,N/A,N/A,N/A,N/A
Alvin and the Chipmunks,Chipmunks,N/A,12/14/2007,28%,64%,3.5/5,https://www.youtube.com/watch?v=sc-C8uumMkw
Alvin and the Chipmunks: The Squeakquel,Chipmunks,N/A,12/23/2009,21%,49%,2.5/5,https://www.youtube.com/watch?v=HwVzCtRvcyY
